time_s,BIS,Ce_prop,Ce_remi,Cp_prop,Cp_remi,u_prop,u_remi,MAP,CO,HR,SV,TPR,ce_del,ce_bis
2795,0.359483398120247,22.204501272356033,69.56689282675558,41.69198409806826,83.67695421659923,2.0,4.0,14.869333731937294,0.6327539148421663,31.09892503979935,20.34648831213263,0.02349939428766125,22.204501272356033,21.509404266639343
2800,0.359483398120247,22.204501272356033,69.56689282675558,41.69198409806826,83.67695421659923,2.0,4.0,14.869333731937294,0.6327539148421663,31.09892503979935,20.34648831213263,0.02349939428766125,22.204501272356033,21.509404266639343
2805,0.35827447416497193,22.252773530321416,69.64980196849889,41.71282420019276,83.71391331195109,2.0,4.0,14.871014878219633,0.632255427631546,31.08479596641571,20.33970010015959,0.023520580810080266,22.252773530321416,21.55863549219246
2810,0.3570741916418001,22.300977796721163,69.73244124021944,41.73360296186879,83.75079539492066,2.0,4.0,14.872697084307303,0.631759339089902,31.070695545365027,20.332964164496946,0.023541713060755965,22.300977796721163,21.607798745599215
2815,0.35588246514257094,22.349114088576368,69.81481177458384,41.754320830836974,83.78760078568334,2.0,4.0,14.874380127576634,0.6312656266569968,31.05662379154356,20.326279858819834,0.023562791160271344,22.349114088576368,21.656894026002668
2820,0.3546992103223374,22.397182423969642,69.89691469948087,41.774978250936215,83.8243298010139,2.0,4.0,14.87606379130679,0.6307742681334755,31.042580720409184,20.31964654661486,0.023583815229696287,22.397182423969642,21.705921333807396
2825,0.3546992103223374,22.397182423969642,69.89691469948087,41.774978250936215,83.8243298010139,2.0,4.0,14.87606379130679,0.6307742681334755,31.042580720409184,20.31964654661486,0.023583815229696287,22.397182423969642,21.705921333807396
2830,0.3535243438836062,22.445182822032887,69.97875113802971,41.79557566213836,83.860982754336,2.0,4.0,14.877747864549791,0.6302852416737456,31.028566347927978,20.313063601014058,0.023604785390566003,22.445182822032887,21.754880670665372
2835,0.35235778356063463,22.493115302935166,70.06032220858833,41.816113500582546,83.89755995577104,2.0,4.0,14.87943214200312,0.6297985257790008,31.01458069052255,20.306530404631744,0.023625701764859928,22.493115302935166,21.803772039462014
2840,0.3511994481042535,22.540979887870677,70.14162902476231,41.836592198609246,83.9340617121862,2.0,4.0,14.881116423884965,0.6293140992903931,31.00062376502197,20.300046349404386,0.023646564474981143,22.540979887870677,21.852595444302306
